EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE
NSE,C,2,NA,INDEX,0,NIFTY,NIFTY,,INDEX,NA,1.0,1979-12-31,-0.01000,XX,0.2500,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,C,5,NA,INDEX,0,NIFTYFUTM1,NIFTYFUTM1,,INDEX,NA,1.0,1979-12-31,-0.01000,XX,0.2500,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,C,10126,NA,FUTCUR,1,USDINR,USDINR-Mar2025-FUT,USDINR MAR FUT,FUT,NA,1.0,2025-03-27,-0.01000,XX,0.2500,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,C,10123,NA,FUTCUR,26,GBPINR,GBPINR-Mar2025-FUT,GBPINR MAR FUT,FUT,NA,1.0,2025-03-27,-0.01000,XX,0.2500,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,C,10002,NA,OPTCUR,1,USDINR,USDINR-Aug2024-88.75-PE,USDINR 30 AUG 88.75 PUT,CUR OP,NA,1.0,2024-08-30,88.75000,PE,0.2500,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,C,10049,NA,OPTCUR,25,EURINR,EURINR-Aug2024-83.5-CE,EURINR 23 AUG 83.50 CALL,CUR OP,NA,1.0,2024-08-23,83.50000,CE,0.2500,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,D,35001,NA,FUTIDX,26000,NIFTY,NIFTY-Mar2025-FUT,NIFTY MAR FUT,FUT,NA,75.0,2025-03-27,-0.01000,XX,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,D,35012,NA,FUTIDX,26009,BANKNIFTY,BANKNIFTY-Jan2025-FUT,BANKNIFTY JAN FUT,FUT,NA,15.0,2025-01-30,-0.01000,XX,5.0000,M,Y,Y,N,NA,A,5.00,5.00,80.00,80.00,0.10,0.10,5.00,5.00,80.00,80.00,0.10,0.10,99.99,99.99,0.10,0.10,0,
NSE,D,41289,NA,FUTSTK,2885,RELIANCE,RELIANCE-Feb2025-FUT,RELIANCE FEB FUT,FUT,NA,500.0,2025-02-27,-0.01000,XX,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,D,38724,NA,FUTSTK,1333,HDFCBANK,HDFCBANK-Feb2025-FUT,HDFCBANK FEB FUT,FUT,NA,550.0,2025-02-27,-0.01000,XX,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
